smiles,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
[*]C(=O)C(=S)C(=O)O[*],-6.47,5.1004,1.4341,2.3358,7.4364,,,
[*]C(=O)C(=S)OC(=S)[*],-5.98,,1.4146,2.6385,,,6.46,2.3004
[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],-6.42,3.783,1.6753,2.994,6.7765,,5.0,2.0994
[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],-6.51,2.1866,2.9556,4.2825,6.4709,,4.54,1.9846
[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.45,3.6543,2.4807,3.618,7.268,,4.76,2.003
[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.38,2.9183,,2.9419,5.8604,,4.98,2.1209
[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.31,3.9759,,2.3711,6.3469,,5.13,2.1236
[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],-6.35,3.4955,2.5144,3.2688,6.7625,,5.24,2.0397
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.37,3.6994,2.0643,2.4596,6.1599,,5.49,2.2139
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.42,2.6442,2.5479,3.3319,5.9803,,4.43,2.0217
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.38,3.0595,,2.8474,5.9085,,6.15,2.3607
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.3,3.8058,,2.3592,6.162,,5.75,2.244
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.38,2.8757,1.7624,2.9694,5.8483,,5.86,2.2925
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.31,2.775,,2.7359,5.5122,,5.1,2.1519
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],-6.35,2.3086,2.7538,3.7187,6.028,,4.73,1.9796
[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],-6.3,3.2631,2.0547,3.5119,6.7719,,5.05,2.0762
[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],-6.33,2.5289,3.0776,3.6478,6.1761,,4.79,2.0027
[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],-6.33,4.6396,1.1902,2.2094,6.8471,,6.61,2.3542
[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.37,4.0693,1.863,2.966,7.0438,,7.04,2.0879
[*]C(=O)C(S1)=CC=C1C(=O)O[*],-6.49,3.3779,3.202,3.9821,7.3658,,4.57,1.8811
[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.19,4.1286,,2.0759,6.205,,6.22,2.2975
[*]C(=O)C(S1)=CC=C1C(=S)O[*],-6.21,4.037,2.3663,2.753,6.7886,,5.45,2.068
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.29,3.7335,1.9265,2.3241,6.0589,,5.9,2.2782
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.34,3.2278,1.5224,2.5282,5.7571,,7.44,2.5812
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],-6.38,2.9075,2.0204,2.8763,5.7839,,5.45,2.1334
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.22,4.1032,1.6466,2.0098,6.113,,6.5,2.3807
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.27,3.453,1.2608,1.9407,5.3929,,8.28,2.705
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],-6.27,2.952,2.3145,2.6473,5.5977,,5.23,2.0521
[*]C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3[*],,2.7059,2.3992,2.5473,5.4902,,5.35,2.0222
[*]C(=O)C(S1)=CC=C1OC(=S)[*],-6.17,3.2522,1.6701,3.5676,6.8199,,6.41,2.3124
[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],-6.22,2.882,2.4838,3.475,6.3539,,5.0,2.0427
[*]C(=O)NC(=O)CNC(=O)ON[*],-6.11,2.0185,4.9352,5.7289,8.0693,,5.02,1.7831
[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],-6.29,1.5146,3.2632,3.5876,5.7225,,5.34,1.9797
[*]C(=O)NC(=O)NCCCN[*],-5.77,0.6578,6.0227,6.155,6.8266,,4.19,1.7499
[*]C(=O)NC(=O)OC(=O)NCN[*],-6.22,1.6859,5.4649,6.5319,8.0251,,4.67,1.7355
[*]C(=O)NOCCCCO[*],-5.44,,5.6793,6.9613,6.4266,,3.69,1.6747
[*]C(=O)NONC(=O)NC(S1)=CC=C1N[*],-5.99,1.3385,,,5.6948,,6.1,2.1192
[*]C(=O)OC(=O)O[*],-6.78,2.3361,5.926,5.0987,7.4502,,4.67,1.5714
[*]C(=O)OC(=S)O[*],-6.2,3.1486,3.9378,4.2076,7.3548,,4.16,1.7396
[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],-6.32,3.6938,2.3448,2.9816,6.6755,,4.83,2.0099
[*]C(=O)OC(S1)=CC=C1C(=S)[*],-6.21,3.8482,1.9856,2.7905,6.6347,,5.33,2.0962
[*]C(=O)OC(S1)=CC=C1O[*],-6.25,1.7594,3.6706,4.2235,5.9838,,4.26,1.8728
[*]C(=S)C(=O)CCNC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.05,3.8901,,,5.8838,,6.47,2.3328
[*]C(C=C1)=CC=C1C(=O)NC(=O)[*],-6.48,,3.4047,4.4505,,,4.45,1.8899
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)[*],-6.17,2.9311,1.8035,2.6743,5.6051,,3.8,1.8941
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O[*],-6.28,3.1315,1.7412,2.6372,5.7685,,4.95,2.0867
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],-6.16,4.1807,1.1979,2.0314,6.2119,,6.78,2.4956
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3[*],-6.22,3.54,,2.1031,5.643,,8.4,2.7768
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],-6.18,3.2177,2.4038,2.6462,5.8629,,4.54,2.0044
[*]C(C=C1)=CC=C1C(=S)OC(=S)[*],-6.13,3.7508,2.364,2.8098,6.5598,,5.52,2.1589
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O[*],-6.29,2.7321,2.8665,3.2538,5.9851,,4.56,2.0445
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)[*],-6.31,3.0264,1.6353,2.6076,5.6338,,4.57,2.0777
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],-6.34,2.2963,1.8601,2.8936,5.1853,,5.39,2.2986
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O[*],-6.34,1.6576,3.3861,3.9661,5.5837,,3.87,1.9034
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)[*],-6.27,3.3959,,2.3302,5.7249,,6.66,2.5024
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],-6.3,2.6224,,2.2403,4.852,,7.13,2.646
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O[*],-6.29,1.897,2.397,3.3694,5.1012,,5.01,2.1534
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2CC(=S)C(S3)=CC=C3C(=S)CO[*],-6.04,3.7067,,,5.9175,,4.62,2.0738
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],-6.22,3.6267,1.0659,2.0866,5.7103,,9.09,2.8943
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)[*],-6.27,3.3503,1.8996,2.3434,5.6674,,5.87,2.3194
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],-6.28,2.3385,2.0606,2.8274,5.1637,,4.25,2.033
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O[*],-6.29,1.8588,2.1724,3.449,5.1678,,4.91,2.1267
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],-6.24,2.752,1.1128,2.0066,4.7302,,8.85,2.9445
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],-6.21,1.7103,1.9403,3.9319,5.6406,,5.17,2.1712
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)[*],-6.17,2.8418,2.3094,3.0996,5.9399,,5.67,2.1962
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3[*],-6.21,2.1082,2.1882,3.0679,4.9968,,5.22,2.1868
[*]C(C=C1)=CC=C1NC(C=C2)=CC=C2C(=S)NC(S3)=CC=C3C(=O)N[*],-6.21,2.5831,,,5.2813,,6.07,2.2302
[*]C(C=C1)=CC=C1NC(S2)=CC=C2C(S3)=CC=C3C(=S)C(S4)=CC=C4C(S5)=CC=C5N[*],-6.12,,,,,,6.88,2.4299
[*]C(C=C1)=CC=C1OC(=O)CC(=O)CCO[*],-6.01,2.0323,3.7901,4.7926,6.7464,,3.67,1.7251
[*]C(C=C1)=CC=C1OC(=S)C(S2)=CC=C2[*],-6.21,3.1094,2.0472,2.8495,5.9615,,5.49,2.2131
[*]C(C=C1)=CC=C1OC(=S)O[*],-6.18,1.8722,3.9415,4.7568,6.6287,,4.1,1.8793
[*]C(C=C1)=CC=C1OC(S2)=CC=C2O[*],-6.18,1.2264,4.0372,4.6798,5.9034,,3.82,1.8525
[*]C(F)(F)C(=O)C(F)(F)C(=O)[*],-5.77,4.1382,3.1408,4.4683,7.3587,,3.77,1.6328
[*]C(F)(F)C(=O)C(F)(F)C(C=C1)=CC=C1[*],-6.01,,,,,,3.57,1.7375
[*]C(F)(F)C(=O)C(F)(F)C(S1)=CC=C1[*],-5.82,,,,,,4.05,1.8032
[*]C(F)(F)C(=O)C(F)(F)O[*],-5.57,3.6501,5.2263,5.2431,8.7917,,3.55,1.5807
[*]C(F)(F)C(=S)C(F)(F)O[*],-5.24,4.3264,2.4298,2.9412,7.385,,3.6,1.6753
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)[*],-5.84,4.0037,2.4957,2.6791,6.9546,,3.7,1.8005
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2[*],-6.06,2.0599,4.1742,4.017,6.6407,,3.82,1.8364
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(S2)=CC=C2[*],-5.99,2.9023,3.9825,4.7168,6.4074,,4.0,1.8167
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)O[*],-5.92,2.1427,4.4042,4.9933,7.7355,,3.68,1.7269
[*]C(F)(F)C(F)(F)C(=O)C(=S)[*],-5.51,5.1438,1.5715,2.0268,7.0732,,4.75,1.9833
[*]C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1[*],-6.03,3.4595,3.5762,4.443,7.7091,,3.85,1.8174
[*]C(F)(F)C(F)(F)C(=O)C(S1)=CC=C1[*],-5.86,3.7613,3.0077,3.8794,7.5565,,3.93,1.8316
[*]C(F)(F)C(F)(F)C(=O)O[*],-5.64,2.9195,,,9.0985,,3.31,1.5879
[*]C(F)(F)C(F)(F)C(=S)O[*],-5.26,3.6605,3.1746,3.598,7.093,,3.68,1.7142
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)[*],-5.85,3.9184,2.3476,3.118,6.6143,,4.33,1.9682
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],-6.1,2.3351,3.2719,4.4103,6.3228,,3.97,1.9016
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(S2)=CC=C2[*],-5.98,2.4773,4.0895,3.7339,6.0965,,3.57,1.7814
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1O[*],-5.89,1.7411,4.7894,4.5008,6.9837,,3.63,1.7437
[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(=S)[*],-5.66,4.1828,2.1029,2.5306,6.7085,,4.44,1.985
[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(S2)=CC=C2[*],-5.87,2.7568,,,5.8176,,4.36,1.9785
[*]C(F)(F)C(F)(F)C(S1)=CC=C1O[*],-5.67,1.9642,4.0762,4.1725,6.8728,,3.9,1.7924
[*]C(F)(F)C(F)(F)CC(=O)[*],-5.5,2.8445,5.0395,5.5534,7.9225,,3.37,1.6044
[*]C(F)(F)C(F)(F)CC(=S)[*],-5.19,3.5657,2.143,3.089,6.438,,3.81,1.767
[*]C(F)(F)C(F)(F)CC(C=C1)=CC=C1[*],-5.78,1.7485,5.11,5.1278,7.001,,3.38,1.7264
[*]C(F)(F)C(F)(F)CC(S1)=CC=C1[*],-5.59,1.8781,4.5178,,6.8904,,3.59,1.7679
[*]C(F)(F)C(F)(F)CN[*],-5.24,0.6587,7.8675,6.8454,8.2676,,4.32,1.5942
[*]C(F)(F)C(F)(F)CO[*],-5.23,0.6148,8.8494,8.1009,9.8385,,3.5,1.5633
[*]C(F)(F)C(F)(F)NC(=O)[*],-5.65,2.4953,5.4991,5.8517,8.3456,,3.53,1.642
[*]C(F)(F)C(F)(F)NC(=S)[*],-5.29,3.1022,2.8927,3.3248,6.3593,,3.81,1.765
[*]C(F)(F)C(F)(F)NC(C=C1)=CC=C1[*],-5.86,1.524,4.1626,4.4728,6.1304,,3.92,1.7935
[*]C(F)(F)C(F)(F)NC(S1)=CC=C1[*],-5.66,1.8646,3.3898,4.7359,5.871,,4.5,1.862
[*]C(F)(F)C(F)(F)ON[*],-5.15,0.9509,6.3342,6.8893,9.0368,,3.73,1.6008
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(=S)[*],-5.65,4.1531,2.1503,2.8122,6.9673,,3.9,1.8028
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2[*],-5.83,2.5399,3.3708,3.3802,6.7826,,4.41,1.899
[*]C(F)(F)C(S1)=CC=C1C(F)(F)O[*],-5.68,2.3901,3.9843,4.9584,7.2935,,3.93,1.7563
[*]C(F)(F)CC(F)(F)C(=O)[*],-5.48,3.352,4.9978,4.9534,8.1829,,3.64,1.6107
[*]C(F)(F)CC(F)(F)C(=S)[*],-5.2,4.3183,2.4856,2.8419,7.4545,,3.78,1.7605
[*]C(F)(F)CC(F)(F)C(C=C1)=CC=C1[*],-5.8,1.9565,4.3368,4.7291,7.0413,,3.47,1.7249
[*]C(F)(F)CC(F)(F)C(S1)=CC=C1[*],-5.59,2.025,3.8644,5.0751,7.1393,,3.75,1.7568
[*]C(F)(F)CC(F)(F)N[*],-5.26,1.3115,8.287,7.1667,8.5515,,3.9,1.6205
[*]C(F)(F)CC(F)(F)O[*],-5.25,0.7292,10.0451,9.1417,9.6085,,3.47,1.5813
[*]C(F)(F)NC(F)(F)C(=O)[*],-5.56,3.7985,5.0875,4.8818,8.5584,,4.75,1.6253
[*]C(F)(F)NC(F)(F)C(=S)[*],-5.29,4.6097,2.6094,2.8977,7.8892,,4.49,1.7879
[*]C(F)(F)NC(F)(F)C(C=C1)=CC=C1[*],-5.88,2.1641,4.2709,5.3698,7.2657,,3.77,1.7422
[*]C(F)(F)NC(F)(F)C(S1)=CC=C1[*],-5.66,2.4083,3.6543,4.586,7.3853,,4.48,1.7771
[*]C(F)(F)NC(F)(F)N[*],-5.31,1.6576,8.2637,8.2137,8.5631,,4.43,1.6331
[*]C(F)(F)NC(F)(F)O[*],-5.29,0.9184,8.991,8.2061,9.067,,4.04,1.5936
[*]C(F)(F)OC(F)(F)O[*],-5.25,,,,,,3.8,1.5596
[*]C(F)C([*])(F)F,-5.11,1.524,6.8451,7.6787,8.5986,72.97,3.06,1.5796
[*]C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4[*],-6.81,3.155,2.5367,,5.6338,,4.77,2.116
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2C(=S)C(=O)NC(C=C3)=CC=C3C(S4)=CC=C4[*],-6.19,3.9089,,,5.6233,,7.03,2.4376
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],-6.04,3.4574,2.3041,2.6229,6.0778,,4.89,2.0575
[*]C(S1)=CC=C1C(=S)OC(=S)[*],-5.95,4.0075,1.7517,2.38,6.3892,,6.22,2.2971
[*]C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N[*],-6.19,2.9241,,,5.1795,,6.31,2.2382
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],-6.13,3.9365,0.75,1.4924,5.4248,,,
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],-6.12,2.4093,1.8638,2.5408,4.7769,,5.59,2.2729
[*]C(S1)=CC=C1C(S2)=CC=C2OC(=S)[*],-6.07,3.2944,1.9834,2.4847,5.7571,,5.88,2.2317
[*]C(S1)=CC=C1C(S2)=CC=C2[*],-6.18,2.9681,0.9894,1.5925,4.5257,,,
[*]C(S1)=CC=C1OC(=S)O[*],-5.94,2.5249,3.0437,3.5737,6.1007,,4.48,1.9459
[*]C(S1)=CC=C1OC(S2)=CC=C2O[*],-6.02,1.3443,4.047,3.7097,5.0541,,3.9,1.867
[*]C=CC1CC([*])C2CC=CC12,,,5.6741,5.3836,,41.11,,
[*]CC(=O)C(=S)C(=O)[*],-6.06,4.8698,1.4812,1.9995,6.8667,,6.33,2.1903
[*]CC(=O)C(=S)C(C=C1)=CC=C1[*],-6.15,3.6382,2.4428,2.6275,6.263,,4.62,2.03
[*]CC(=O)C(=S)C(S1)=CC=C1[*],-6.0,3.7805,2.1804,2.5515,6.3305,,4.85,2.0529
[*]CC(=O)C(=S)O[*],-5.8,2.8847,2.0217,3.8359,6.719,,4.8,1.9836
[*]CC(=O)C(C=C1)=CC=C1C(=O)[*],-6.34,2.7979,2.9172,4.4703,7.293,,4.2,1.8797
[*]CC(=O)C(C=C1)=CC=C1C(=S)[*],-6.15,3.7473,2.4669,2.7253,6.4748,,4.71,2.0297
[*]CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],-6.29,2.336,3.0649,3.9429,6.2808,,3.96,1.9046
[*]CC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],-6.2,2.4129,2.5243,3.5141,5.9294,,4.71,2.0511
[*]CC(=O)C(C=C1)=CC=C1O[*],-6.19,2.3793,3.8893,4.1635,6.5457,,3.8,1.7866
[*]CC(=O)C(S1)=CC=C1C(=O)[*],-6.21,3.1941,2.9786,4.0034,7.202,,4.49,1.9246
[*]CC(=O)C(S1)=CC=C1C(=S)[*],-6.0,3.6254,2.3542,2.6865,6.3101,,4.78,2.0669
[*]CC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],-6.21,2.6784,2.5123,3.4067,6.0852,,4.58,2.0173
[*]CC(=O)C(S1)=CC=C1C(S2)=CC=C2[*],-6.12,2.8128,2.3893,2.8653,5.6786,,4.89,2.0695
[*]CC(=O)C(S1)=CC=C1O[*],-6.03,2.4711,3.1722,3.7866,6.261,,4.43,1.9109
[*]CC(=O)CC(=O)[*],-5.95,1.5258,4.6959,4.1544,5.6663,,3.79,1.7565
[*]CC(=O)CC(=S)[*],-5.62,3.0632,3.1252,2.8292,5.8877,,3.82,1.8167
[*]CC(=O)CC(C=C1)=CC=C1[*],-6.05,1.8209,3.781,4.4305,6.2518,,3.64,1.7624
[*]CC(=O)CC(S1)=CC=C1[*],-5.87,1.6069,3.7852,4.4255,6.0343,,3.59,1.799
[*]CC(=O)CO[*],-5.62,1.6393,4.6507,5.3391,6.97,,3.7,1.6922
[*]CC(=O)NC(=O)[*],-6.2,1.5835,4.8368,4.269,5.8547,,4.4,1.7864
[*]CC(=O)NC(=S)[*],-5.8,2.9562,3.0348,2.887,5.8386,,4.69,1.9255
[*]CC(=O)NC(C=C1)=CC=C1[*],-6.16,1.369,3.7951,4.5889,5.8783,,4.03,1.8294
[*]CC(=O)NC(S1)=CC=C1[*],-6.01,1.3272,3.9328,4.4758,5.8021,,4.12,1.8784
[*]CC(=O)N[*],-5.91,0.7672,5.7289,6.0823,7.2525,,4.01,1.7337
[*]CC(=O)OC(=O)[*],-6.3,2.2158,5.9215,6.3725,8.5901,,3.95,1.7033
[*]CC(=O)OC(=S)[*],-5.87,3.1169,3.73,3.6315,6.7464,,3.78,1.7532
[*]CC(=O)OC(S1)=CC=C1[*],-6.05,1.4534,4.2025,4.6247,6.077,,3.92,1.8447
[*]CC(=O)O[*],-6.0,1.2063,6.5712,7.0895,8.2018,,3.99,1.6701
[*]CC(=S)C(=O)C(=S)[*],-5.79,,0.725,1.5344,,,5.61,2.1951
[*]CC(=S)C(=O)O[*],-5.84,3.8755,2.0697,2.7057,6.5803,,4.54,1.92
[*]CC(=S)C(C=C1)=CC=C1C(=S)[*],-5.91,2.9742,1.4834,1.5353,4.2727,,,
[*]CC(=S)C(C=C1)=CC=C1N[*],-5.95,3.0309,2.1148,2.6292,5.6636,,5.48,2.1325
[*]CC(=S)C(C=C1)=CC=C1O[*],-5.99,3.1915,2.3706,2.734,5.926,,4.45,1.9879
[*]CC(=S)C(S1)=CC=C1C(=S)[*],-5.78,2.8676,1.6797,2.1188,4.932,,6.4,2.4487
[*]CC(=S)C(S1)=CC=C1O[*],-5.8,3.131,1.6344,2.8161,5.946,,5.64,2.1619
[*]CC(=S)CC(=S)[*],-5.3,,2.5638,2.5423,,,3.96,1.9346
[*]CC(=S)CO[*],-5.27,2.5664,2.5314,3.0342,5.5936,,4.16,1.8843
[*]CC(=S)NC(=S)[*],-5.43,,1.7598,2.5403,,,5.73,2.0504
[*]CC(=S)NO[*],-5.27,2.2076,3.2554,3.435,5.6761,,5.15,1.9431
[*]CC(=S)OC(=S)[*],-5.45,,2.7744,3.3702,,,4.36,1.9523
[*]CC(C)C(=O)O[*],,,6.5897,6.7365,,81.29,,
[*]CC(C)C(C)COC(=O)c1ccc(C(=O)O[*])cc1,,,4.2335,4.7326,,14.88,,
[*]CC(C)O[*],,,6.9903,5.7517,,77.61,,
[*]CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)[*],-5.9,1.5606,4.8255,5.2025,3.5577,,2.71,1.6244
[*]CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3)[*],-5.99,1.1922,4.5101,5.3668,6.2005,,3.19,1.7108
[*]CC(C=C1)=CC=C1C(=O)C(=S)[*],-6.14,3.3639,2.5816,2.9385,6.2998,,4.22,1.9454
[*]CC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],-6.29,2.314,3.8451,4.3155,6.6326,,3.96,1.9018
[*]CC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.2,2.5375,3.4106,4.0354,6.578,,4.07,1.9009
[*]CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.17,2.874,2.3058,2.7965,5.6687,,4.09,1.9675
[*]CC(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.07,3.0211,2.5143,2.7917,5.8109,,4.17,1.9663
[*]CC(C=C1)=CC=C1C(=S)O[*],-6.0,2.8319,3.1473,3.4449,6.2737,,3.95,1.8934
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.17,2.7075,2.5561,2.9595,5.6651,,4.45,2.0502
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.26,1.7487,3.4166,3.7798,5.528,,3.67,1.8915
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.19,1.812,2.8951,3.5671,5.3793,,4.21,2.0164
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],-6.2,,3.7323,4.3757,,,3.79,1.8665
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.08,3.0651,1.9323,2.7839,5.8475,,4.61,2.0798
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.2,1.8331,2.7314,3.4745,5.3092,,3.99,1.9726
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.12,1.9547,2.8214,3.2138,5.1679,,4.02,1.9768
[*]CC(C=C1)=CC=C1CC(=S)[*],-5.85,2.6743,2.9253,3.2973,5.9697,,3.68,1.8601
